"Title","TesdaId","CatalogPage","Status","File","Error"
"Automotive Body Painting/Finishing NC I","24","4","Already present","Automotive Body Painting Finishing NC I.pdf",""
"Aquaculture NC II (Superseded)","11","3","Already present","Aquaculture NC II (Superseded).pdf",""
"Fish Capture NC II","23","15","Already present","Fish Capture NC II.pdf",""
"Auto Engine Rebuilding NC II","25","4","Already present","Auto Engine Rebuilding NC II.pdf",""
"Automotive Servicing NC II (Superseded)","27","6","Already present","Automotive Servicing NC II (Superseded).pdf",""
"Carpentry NC II","29","9","Already present","Carpentry NC II.pdf",""
"Bartending NC II","28","7","Already present","Bartending NC II.pdf",""
"Cookery NC II","30","11","Already present","Cookery NC II.pdf",""
"Dressmaking NC II","33","13","Already present","Dressmaking NC II.pdf",""
"Driving NC II","34","13","Already present","Driving NC II.pdf",""
"Food and Beverage Services NC II (Superseded)","35","16","Already present","Food and Beverage Services NC II (Superseded).pdf",""
"Animation NC II","38","3","Already present","Animation NC II.pdf",""
"Masonry NC II","42","27","Already present","Masonry NC II.pdf",""
"Pyrotechnics NC II","43","33","Already present","Pyrotechnics NC II.pdf",""
"RAC Servicing (PACU-CRE) NC III (Superseded)","44","33","Already present","RAC Servicing (PACU-CRE) NC III (Superseded).pdf",""
"Local Guiding Services NC II","46","26","Already present","Local Guiding Services NC II.pdf",""
"Agricultural Crops Production NC I","49","1","Already present","Agricultural Crops Production NC I.pdf",""
"CNC Milling Machine Operation NC II","50","10","Already present","CNC Milling Machine Operation NC II.pdf",""
"Beauty Care (Skin Care) Services NC II","51","7","Already present","Beauty Care (Skin Care) Services NC II.pdf",""
"Beauty Care NC III (Superseded)","52","7","Already present","Beauty Care NC III (Superseded).pdf",""
"Driving (Articulated Vehicle) NC III","53","13","Already present","Driving (Articulated Vehicle) NC III.pdf",""
"Performing Arts (Dance) NC II","60","30","Downloaded","Performing Arts (Dance) NC II.pdf",""
"Front Office Services NC II","56","18","Downloaded","Front Office Services NC II.pdf",""
"Fish Capture NC I","54","15","Downloaded","Fish Capture NC I.pdf",""
"Health Care Services NC II","59","21","Downloaded","Health Care Services NC II.pdf",""
"Hairdressing NC III","58","20","Downloaded","Hairdressing NC III.pdf",""
